data;id;humidite;direction_du_vecteur_de_vent_max;pluie_intensite_max;pression;direction_du_vecteur_vent_moyen;type_de_station;pluie;direction_du_vecteur_de_vent_max_en_degres;force_moyenne_du_vecteur_vent;force_rafale_max;temperature_en_degre_c;heure_de_paris;heure_utc
130d04d189d003d04d582800;9;58;12;0.0;100600;122;ISS;0.0;270.0;2;10;20.2;2019-08-13T09:15:00+00:00;2019-08-13T09:15:00+00:00
130d0431063000004d581800;9;70;12;0.0;100600;0;ISS;0.0;270.0;2;6;18.1;2019-08-13T08:00:00+00:00;2019-08-13T08:00:00+00:00
130d0410da4800002d580c00;9;73;12;0.0;100600;0;ISS;0.0;270.0;1;3;17.6;2019-08-13T07:45:00+00:00;2019-08-13T07:45:00+00:00
130d03f0c65800004d441800;9;75;2;0.0;100600;0;ISS;0.0;45.0;2;6;17.1;2019-08-13T07:30:00+00:00;2019-08-13T07:30:00+00:00
130d03d09e6804802d581800;9;77;12;0.0;100600;144;ISS;0.0;270.0;1;6;16.7;2019-08-13T07:15:00+00:00;2019-08-13T07:15:00+00:00
130d03505a8803800d5a0c00;9;81;13;0.0;100600;112;ISS;0.0;292.5;0;3;15.6;2019-08-13T06:15:00+00:00;2019-08-13T06:15:00+00:00
130d0310568803804d5a1800;9;81;13;0.0;100600;112;ISS;0.0;292.5;2;6;15.5;2019-08-13T05:45:00+00:00;2019-08-13T05:45:00+00:00
130d01b0628003804d3a1400;9;80;13;0.0;100500;112;ISS;0.0;292.5;2;5;15.8;2019-08-13T03:00:00+00:00;2019-08-13T03:00:00+00:00
130d0190667803802d3a1400;9;79;13;0.0;100500;112;ISS;0.0;292.5;1;5;15.9;2019-08-13T02:45:00+00:00;2019-08-13T02:45:00+00:00
130d00b0a27803602d581400;9;79;12;0.0;100600;108;ISS;0.0;270.0;1;5;16.8;2019-08-13T01:00:00+00:00;2019-08-13T01:00:00+00:00
130d0090a27800006d582c00;9;79;12;0.0;100600;0;ISS;0.0;270.0;3;11;16.8;2019-08-13T00:45:00+00:00;2019-08-13T00:45:00+00:00
130c0b11067000010d584800;9;78;12;0.0;100600;0;ISS;0.0;270.0;8;18;18.1;2019-08-12T21:45:00+00:00;2019-08-12T21:45:00+00:00
130c0a511e700000cd363800;9;78;11;0.0;100500;0;ISS;0.0;247.5;6;14;18.7;2019-08-12T20:15:00+00:00;2019-08-12T20:15:00+00:00
130c09919a280000ad182c00;9;69;12;0.0;100400;0;ISS;0.0;270.0;5;11;20.6;2019-08-12T18:45:00+00:00;2019-08-12T18:45:00+00:00
130c0951ca1002e06d183400;9;66;12;0.0;100400;92;ISS;0.0;270.0;3;13;21.2;2019-08-12T18:15:00+00:00;2019-08-12T18:15:00+00:00
130c085201e00000acf84000;9;60;12;0.0;100300;0;ISS;0.0;270.0;5;16;22.0;2019-08-12T16:15:00+00:00;2019-08-12T16:15:00+00:00
130c0811a61002d12cfa6000;9;66;13;0.0;100300;90;ISS;0.0;292.5;9;24;20.9;2019-08-12T15:45:00+00:00;2019-08-12T15:45:00+00:00
130c07f1c9f803506cf83800;9;63;12;0.0;100300;106;ISS;0.0;270.0;3;14;21.2;2019-08-12T15:30:00+00:00;2019-08-12T15:30:00+00:00
130c073215e002f0ccfa5400;9;60;13;0.0;100300;94;ISS;0.0;292.5;6;21;22.5;2019-08-12T14:00:00+00:00;2019-08-12T14:00:00+00:00
130c049102a002f0ccfa2c00;9;84;13;0.0;100300;94;ISS;0.0;292.5;6;11;18.0;2019-08-12T08:45:00+00:00;2019-08-12T08:45:00+00:00
130c0410cab803804cda1800;9;87;13;0.0;100200;112;ISS;0.0;292.5;2;6;17.2;2019-08-12T07:45:00+00:00;2019-08-12T07:45:00+00:00
130c03d0c2c003d00cd80c00;9;88;12;0.0;100200;122;ISS;0.0;270.0;0;3;17.0;2019-08-12T07:15:00+00:00;2019-08-12T07:15:00+00:00
130c0390c2b803502cd82800;9;87;12;0.0;100200;106;ISS;0.0;270.0;1;10;17.0;2019-08-12T06:45:00+00:00;2019-08-12T06:45:00+00:00
130c0330a6c000000ca00000;9;88;0;0.0;100100;0;ISS;0.0;0.0;0;0;16.9;2019-08-12T06:00:00+00:00;2019-08-12T06:00:00+00:00
130c02d0c6b000002cb81800;9;86;12;0.0;100100;0;ISS;0.0;270.0;1;6;17.1;2019-08-12T05:15:00+00:00;2019-08-12T05:15:00+00:00
130c0191028004104cb81400;9;80;12;0.0;100100;130;ISS;0.0;270.0;2;5;18.0;2019-08-12T02:45:00+00:00;2019-08-12T02:45:00+00:00
130c00914a6004804cb81800;9;76;12;0.0;100100;144;ISS;0.0;270.0;2;6;19.2;2019-08-12T00:45:00+00:00;2019-08-12T00:45:00+00:00
130b0b315e4800002cdc1400;9;73;14;0.0;100200;0;ISS;0.0;315.0;1;5;19.7;2019-08-11T22:00:00+00:00;2019-08-11T22:00:00+00:00
130b0b115e4804300cdc0c00;9;73;14;0.0;100200;134;ISS;0.0;315.0;0;3;19.7;2019-08-11T21:45:00+00:00;2019-08-11T21:45:00+00:00
130b09720a0803804c982800;9;65;12;0.0;100000;112;ISS;0.0;270.0;2;10;22.2;2019-08-11T18:30:00+00:00;2019-08-11T18:30:00+00:00
130b0872023800012c9a4c00;9;71;13;0.0;100000;0;ISS;0.0;292.5;9;19;22.0;2019-08-11T16:30:00+00:00;2019-08-11T16:30:00+00:00
130b0811c64802d16c984c00;9;73;12;0.0;100000;90;ISS;0.0;270.0;11;19;21.1;2019-08-11T15:45:00+00:00;2019-08-11T15:45:00+00:00
130b07d1e23002d08c983800;9;70;12;0.0;100000;90;ISS;0.0;270.0;4;14;21.8;2019-08-11T15:15:00+00:00;2019-08-11T15:15:00+00:00
130b05910ab005104c982800;9;86;12;0.0;100000;162;ISS;0.0;270.0;2;10;18.2;2019-08-11T10:45:00+00:00;2019-08-11T10:45:00+00:00
130b0551229005404c802c00;9;82;0;0.0;100000;168;ISS;0.0;0.0;2;11;18.8;2019-08-11T10:15:00+00:00;2019-08-11T10:15:00+00:00
130b04321a3004304c382c00;9;70;12;0.0;99700;134;ISS;0.0;270.0;2;11;22.6;2019-08-11T08:00:00+00:00;2019-08-11T08:00:00+00:00
130b03d1d25804802c362c00;9;75;11;0.0;99700;144;ISS;0.0;247.5;1;11;21.4;2019-08-11T07:15:00+00:00;2019-08-11T07:15:00+00:00
130b0231827000000c401400;9;78;0;0.0;99800;0;ISS;0.0;0.0;0;5;20.0;2019-08-11T04:00:00+00:00;2019-08-11T04:00:00+00:00
130b01d1926000002c400c00;9;76;0;0.0;99800;0;ISS;0.0;0.0;1;3;20.4;2019-08-11T03:15:00+00:00;2019-08-11T03:15:00+00:00
130b0151a25000000c800800;9;74;0;0.0;100000;0;ISS;0.0;0.0;0;2;20.8;2019-08-11T02:15:00+00:00;2019-08-11T02:15:00+00:00
130b00f1ca4800000c800000;9;73;0;0.0;100000;0;ISS;0.0;0.0;0;0;21.2;2019-08-11T01:30:00+00:00;2019-08-11T01:30:00+00:00
130a0bb21e2800604ca01800;9;69;0;0.0;100100;12;ISS;0.0;0.0;2;6;22.7;2019-08-10T23:00:00+00:00;2019-08-10T23:00:00+00:00
130a0af25a1800000cc00000;9;67;0;0.0;100200;0;ISS;0.0;0.0;0;0;23.6;2019-08-10T21:30:00+00:00;2019-08-10T21:30:00+00:00
130a0ad2621800b00cc20c00;9;67;1;0.0;100200;22;ISS;0.0;22.5;0;3;23.8;2019-08-10T21:15:00+00:00;2019-08-10T21:15:00+00:00
130a0ab2661800000cc00000;9;67;0;0.0;100200;0;ISS;0.0;0.0;0;0;23.9;2019-08-10T21:00:00+00:00;2019-08-10T21:00:00+00:00
130a0a928a1800000cc00000;9;67;0;0.0;100200;0;ISS;0.0;0.0;0;0;24.2;2019-08-10T20:45:00+00:00;2019-08-10T20:45:00+00:00
130a0a72960800000cc00000;9;65;0;0.0;100200;0;ISS;0.0;0.0;0;0;24.5;2019-08-10T20:30:00+00:00;2019-08-10T20:30:00+00:00
130a09f2c9e800000cc00000;9;61;0;0.0;100200;0;ISS;0.0;0.0;0;0;25.2;2019-08-10T19:30:00+00:00;2019-08-10T19:30:00+00:00
130a097305d005204cde1400;9;58;15;0.0;100200;164;ISS;0.0;337.5;2;5;26.1;2019-08-10T18:30:00+00:00;2019-08-10T18:30:00+00:00
130a095309c804404cdc1400;9;57;14;0.0;100200;136;ISS;0.0;315.0;2;5;26.2;2019-08-10T18:15:00+00:00;2019-08-10T18:15:00+00:00
130a08f319b005902ca21400;9;54;1;0.0;100100;178;ISS;0.0;22.5;1;5;26.6;2019-08-10T17:30:00+00:00;2019-08-10T17:30:00+00:00
130a089351a804b02cbc1800;9;53;14;0.0;100100;150;ISS;0.0;315.0;1;6;27.4;2019-08-10T16:45:00+00:00;2019-08-10T16:45:00+00:00
130a08538d9000904ca01800;9;50;0;0.0;100100;18;ISS;0.0;0.0;2;6;28.3;2019-08-10T16:15:00+00:00;2019-08-10T16:15:00+00:00
130a0773599805104cde2000;9;51;15;0.0;100200;162;ISS;0.0;337.5;2;8;27.6;2019-08-10T14:30:00+00:00;2019-08-10T14:30:00+00:00
130a075345a003f02cd62c00;9;52;11;0.0;100200;126;ISS;0.0;247.5;1;11;27.1;2019-08-10T14:15:00+00:00;2019-08-10T14:15:00+00:00
130a06f355a804804cde2000;9;53;15;0.0;100200;144;ISS;0.0;337.5;2;8;27.5;2019-08-10T13:30:00+00:00;2019-08-10T13:30:00+00:00
130a06d34db003a04cd83800;9;54;12;0.0;100200;116;ISS;0.0;270.0;2;14;27.3;2019-08-10T13:15:00+00:00;2019-08-10T13:15:00+00:00
130a05f2d1e804704cfe3400;9;61;15;0.0;100300;142;ISS;0.0;337.5;2;13;25.4;2019-08-10T11:30:00+00:00;2019-08-10T11:30:00+00:00
130a05128a2003b04cf81800;9;68;12;0.0;100300;118;ISS;0.0;270.0;2;6;24.2;2019-08-10T09:45:00+00:00;2019-08-10T09:45:00+00:00
130a04d25a2804504ce82c00;9;69;4;0.0;100300;138;ISS;0.0;90.0;2;11;23.6;2019-08-10T09:15:00+00:00;2019-08-10T09:15:00+00:00
130a04b2523004204cfc1800;9;70;14;0.0;100300;132;ISS;0.0;315.0;2;6;23.4;2019-08-10T09:00:00+00:00;2019-08-10T09:00:00+00:00
130a0492463003802cfa1800;9;70;13;0.0;100300;112;ISS;0.0;292.5;1;6;23.1;2019-08-10T08:45:00+00:00;2019-08-10T08:45:00+00:00
130a03b1a2a000000cc00000;9;84;0;0.0;100200;0;ISS;0.0;0.0;0;0;20.8;2019-08-10T07:00:00+00:00;2019-08-10T07:00:00+00:00
130a03718eb000000cc00000;9;86;0;0.0;100200;0;ISS;0.0;0.0;0;0;20.3;2019-08-10T06:30:00+00:00;2019-08-10T06:30:00+00:00
130a015152d003802c9a1400;9;90;13;0.0;100000;112;ISS;0.0;292.5;1;5;19.4;2019-08-10T02:15:00+00:00;2019-08-10T02:15:00+00:00
13090bb152e003c04c782840;9;92;12;0.2;99900;120;ISS;0.0;270.0;2;10;19.4;2019-08-09T23:00:00+00:00;2019-08-09T23:00:00+00:00
13090b5156e005204c5e2040;9;92;15;0.2;99800;164;ISS;0.0;337.5;2;8;19.5;2019-08-09T22:15:00+00:00;2019-08-09T22:15:00+00:00
13090ad28a4004a06c324c00;9;72;9;0.0;99700;148;ISS;0.0;202.5;3;19;24.2;2019-08-09T21:15:00+00:00;2019-08-09T21:15:00+00:00
13090a53069004a00be00c00;9;82;0;0.0;99500;148;ISS;0.0;0.0;0;3;26.1;2019-08-09T20:15:00+00:00;2019-08-09T20:15:00+00:00
130909f306b000000be00000;9;86;0;0.0;99500;0;ISS;0.0;0.0;0;0;26.1;2019-08-09T19:30:00+00:00;2019-08-09T19:30:00+00:00
13090894c1b000010b8a5400;9;54;5;0.0;99200;0;ISS;0.0;112.5;8;21;33.0;2019-08-09T16:45:00+00:00;2019-08-09T16:45:00+00:00
1309083515980000eb8a5400;9;51;5;0.0;99200;0;ISS;0.0;112.5;7;21;34.5;2019-08-09T16:00:00+00:00;2019-08-09T16:00:00+00:00
130907d50da000010b8a5800;9;52;5;0.0;99200;0;ISS;0.0;112.5;8;22;34.3;2019-08-09T15:15:00+00:00;2019-08-09T15:15:00+00:00
130907b511a000012b8c5400;9;52;6;0.0;99200;0;ISS;0.0;135.0;9;21;34.4;2019-08-09T15:00:00+00:00;2019-08-09T15:00:00+00:00
13090775219800010b8c7400;9;51;6;0.0;99200;0;ISS;0.0;135.0;8;29;34.8;2019-08-09T14:30:00+00:00;2019-08-09T14:30:00+00:00
130906b4e59800010baa4000;9;51;5;0.0;99300;0;ISS;0.0;112.5;8;16;33.9;2019-08-09T13:00:00+00:00;2019-08-09T13:00:00+00:00
130905b459d800012baa6000;9;59;5;0.0;99300;0;ISS;0.0;112.5;9;24;31.6;2019-08-09T11:00:00+00:00;2019-08-09T11:00:00+00:00
13090514060000012baa5400;9;64;5;0.0;99300;0;ISS;0.0;112.5;9;21;30.1;2019-08-09T09:45:00+00:00;2019-08-09T09:45:00+00:00
130904f3e60800014baa5800;9;65;5;0.0;99300;0;ISS;0.0;112.5;10;22;29.9;2019-08-09T09:30:00+00:00;2019-08-09T09:30:00+00:00
130904d3d61000010baa5800;9;66;5;0.0;99300;0;ISS;0.0;112.5;8;22;29.5;2019-08-09T09:15:00+00:00;2019-08-09T09:15:00+00:00
130904b3c61800014baa5800;9;67;5;0.0;99300;0;ISS;0.0;112.5;10;22;29.1;2019-08-09T09:00:00+00:00;2019-08-09T09:00:00+00:00
130904335e4000012baa6800;9;72;5;0.0;99300;0;ISS;0.0;112.5;9;26;27.7;2019-08-09T08:00:00+00:00;2019-08-09T08:00:00+00:00
130903f342500001abaa6800;9;74;5;0.0;99300;0;ISS;0.0;112.5;13;26;27.0;2019-08-09T07:30:00+00:00;2019-08-09T07:30:00+00:00
13090392e2680001ab8a7400;9;77;5;0.0;99200;0;ISS;0.0;112.5;13;29;25.8;2019-08-09T06:45:00+00:00;2019-08-09T06:45:00+00:00
13090352c68000016b885400;9;80;4;0.0;99200;0;ISS;0.0;90.0;11;21;25.1;2019-08-09T06:15:00+00:00;2019-08-09T06:15:00+00:00
13090312969000012b8a5400;9;82;5;0.0;99200;0;ISS;0.0;112.5;9;21;24.5;2019-08-09T05:45:00+00:00;2019-08-09T05:45:00+00:00
130902729a7000018b6a6800;9;78;5;0.0;99100;0;ISS;0.0;112.5;12;26;24.6;2019-08-09T04:30:00+00:00;2019-08-09T04:30:00+00:00
13080bb361b00000eb8a3800;9;54;5;0.0;99200;0;ISS;0.0;112.5;7;14;27.8;2019-08-08T23:00:00+00:00;2019-08-08T23:00:00+00:00
13080b9385a80000cba84000;9;53;4;0.0;99300;0;ISS;0.0;90.0;6;16;28.1;2019-08-08T22:45:00+00:00;2019-08-08T22:45:00+00:00
13080ab4058002100ba60c00;9;48;3;0.0;99300;66;ISS;0.0;67.5;0;3;30.1;2019-08-08T21:00:00+00:00;2019-08-08T21:00:00+00:00
