data;id;humidite;direction_du_vecteur_de_vent_max;pluie_intensite_max;pression;direction_du_vecteur_vent_moyen;type_de_station;pluie;direction_du_vecteur_de_vent_max_en_degres;force_moyenne_du_vecteur_vent;force_rafale_max;temperature_en_degre_c;heure_de_paris;heure_utc
22ed14b295f002e08d3a3800;17;62;13;0.0;100500;92;ISS;0.0;292.5;4;14;24.5;2020-07-13T09:00:00+00:00;2020-07-13T09:00:00+00:00
22ed1653a1200420ad1e4000;17;36;15;0.0;100400;132;ISS;0.0;337.5;5;16;28.8;2020-07-13T12:15:00+00:00;2020-07-13T12:15:00+00:00
22ca1470a66000004cce2800;17;76;7;0.0;100200;0;ISS;0.0;157.5;2;10;16.9;2020-06-10T08:30:00+00:00;2020-06-10T08:30:00+00:00
22ca1430828000008cd02c00;17;80;8;0.0;100200;0;ISS;0.0;180.0;4;11;16.0;2020-06-10T08:00:00+00:00;2020-06-10T08:00:00+00:00
22ca136fdac800004cd62000;17;89;11;0.0;100200;0;ISS;0.0;247.5;2;8;13.6;2020-06-10T06:30:00+00:00;2020-06-10T06:30:00+00:00
22ca126f86e800000ca00000;17;93;0;0.0;100100;0;ISS;0.0;0.0;0;0;12.1;2020-06-10T04:30:00+00:00;2020-06-10T04:30:00+00:00
22ca122f8ae000000cb20c00;17;92;9;0.0;100100;0;ISS;0.0;202.5;0;3;12.2;2020-06-10T04:00:00+00:00;2020-06-10T04:00:00+00:00
22ca11ef8ee000000cb20c00;17;92;9;0.0;100100;0;ISS;0.0;202.5;0;3;12.3;2020-06-10T03:30:00+00:00;2020-06-10T03:30:00+00:00
22ca110fa6c800002cd81800;17;89;12;0.0;100200;0;ISS;0.0;270.0;1;6;12.9;2020-06-10T01:45:00+00:00;2020-06-10T01:45:00+00:00
22c91befd6b800002cd22800;17;87;9;0.0;100200;0;ISS;0.0;202.5;1;10;13.5;2020-06-09T23:30:00+00:00;2020-06-09T23:30:00+00:00
22c91b2fe2b800004cd23400;17;87;9;0.0;100200;0;ISS;0.0;202.5;2;13;13.8;2020-06-09T22:00:00+00:00;2020-06-09T22:00:00+00:00
22c91b0fe2b000004cda3400;17;86;13;0.0;100200;0;ISS;0.0;292.5;2;13;13.8;2020-06-09T21:45:00+00:00;2020-06-09T21:45:00+00:00
22c91a901a9800006cd82c00;17;83;12;0.0;100200;0;ISS;0.0;270.0;3;11;14.6;2020-06-09T20:45:00+00:00;2020-06-09T20:45:00+00:00
22c91a70269800004cd02000;17;83;8;0.0;100200;0;ISS;0.0;180.0;2;8;14.9;2020-06-09T20:30:00+00:00;2020-06-09T20:30:00+00:00
22c91970ca6003204cb82800;17;76;12;0.0;100100;100;ISS;0.0;270.0;2;10;17.2;2020-06-09T18:30:00+00:00;2020-06-09T18:30:00+00:00
22c91911124800004cb83800;17;73;12;0.0;100100;0;ISS;0.0;270.0;2;14;18.4;2020-06-09T17:45:00+00:00;2020-06-09T17:45:00+00:00
22c918d0de8003202cba2c00;17;80;13;0.0;100100;100;ISS;0.0;292.5;1;11;17.7;2020-06-09T17:15:00+00:00;2020-06-09T17:15:00+00:00
22c917b0c24803d14cba7800;17;73;13;0.0;100100;122;ISS;0.0;292.5;10;30;17.0;2020-06-09T15:00:00+00:00;2020-06-09T15:00:00+00:00
22c91710ce7800008cbc4c00;17;79;14;0.0;100100;0;ISS;0.0;315.0;4;19;17.3;2020-06-09T13:45:00+00:00;2020-06-09T13:45:00+00:00
22c91690ca9800004cb03800;17;83;8;0.0;100100;0;ISS;0.0;180.0;2;14;17.2;2020-06-09T12:45:00+00:00;2020-06-09T12:45:00+00:00
22c9165056b800008cb02c00;17;87;8;0.0;100100;0;ISS;0.0;180.0;4;11;15.5;2020-06-09T12:15:00+00:00;2020-06-09T12:15:00+00:00
22c915f08aa803704cda2000;17;85;13;0.0;100200;110;ISS;0.0;292.5;2;8;16.2;2020-06-09T11:30:00+00:00;2020-06-09T11:30:00+00:00
22c9159026e002f04cd82c00;17;92;12;0.0;100200;94;ISS;0.0;270.0;2;11;14.9;2020-06-09T10:45:00+00:00;2020-06-09T10:45:00+00:00
22c9144fcef003702cde1840;17;94;15;0.2;100200;110;ISS;0.0;337.5;1;6;13.3;2020-06-09T08:15:00+00:00;2020-06-09T08:15:00+00:00
22c913afc6e800000cb82800;17;93;12;0.0;100100;0;ISS;0.0;270.0;0;10;13.1;2020-06-09T07:00:00+00:00;2020-06-09T07:00:00+00:00
22c9138fc2e800000cb61840;17;93;11;0.2;100100;0;ISS;0.0;247.5;0;6;13.0;2020-06-09T06:45:00+00:00;2020-06-09T06:45:00+00:00
22c9130fd6d000002cb22040;17;90;9;0.2;100100;0;ISS;0.0;202.5;1;8;13.5;2020-06-09T05:45:00+00:00;2020-06-09T05:45:00+00:00
22c912afd6c800004cb21800;17;89;9;0.0;100100;0;ISS;0.0;202.5;2;6;13.5;2020-06-09T05:00:00+00:00;2020-06-09T05:00:00+00:00
22c9124fcec800000cae1800;17;89;7;0.0;100100;0;ISS;0.0;157.5;0;6;13.3;2020-06-09T04:15:00+00:00;2020-06-09T04:15:00+00:00
22c9120fd2d000002cb41800;17;90;10;0.0;100100;0;ISS;0.0;225.0;1;6;13.4;2020-06-09T03:45:00+00:00;2020-06-09T03:45:00+00:00
22c911efd2d000000cb61800;17;90;11;0.0;100100;0;ISS;0.0;247.5;0;6;13.4;2020-06-09T03:30:00+00:00;2020-06-09T03:30:00+00:00
22c9118fd2d003800cba0c00;17;90;13;0.0;100100;112;ISS;0.0;292.5;0;3;13.4;2020-06-09T02:45:00+00:00;2020-06-09T02:45:00+00:00
22c9114fd6d004300cba0c00;17;90;13;0.0;100100;134;ISS;0.0;292.5;0;3;13.5;2020-06-09T02:15:00+00:00;2020-06-09T02:15:00+00:00
22c81b0fe6b000000ca00000;17;86;0;0.0;100100;0;ISS;0.0;0.0;0;0;13.9;2020-06-08T21:45:00+00:00;2020-06-08T21:45:00+00:00
22c819d012b000000c981400;17;86;12;0.0;100000;0;ISS;0.0;270.0;0;5;14.4;2020-06-08T19:15:00+00:00;2020-06-08T19:15:00+00:00
22c8197006a803402c981800;17;85;12;0.0;100000;104;ISS;0.0;270.0;1;6;14.1;2020-06-08T18:30:00+00:00;2020-06-08T18:30:00+00:00
22c8175181c800004c583800;17;57;12;0.0;99800;0;ISS;0.0;270.0;2;14;20.0;2020-06-08T14:15:00+00:00;2020-06-08T14:15:00+00:00
22c81610ca200400cc624800;17;68;1;0.0;99900;128;ISS;0.0;22.5;6;18;17.2;2020-06-08T11:45:00+00:00;2020-06-08T11:45:00+00:00
22c81590923000006c722c00;17;70;9;0.0;99900;0;ISS;0.0;202.5;3;11;16.4;2020-06-08T10:45:00+00:00;2020-06-08T10:45:00+00:00
22c814f0ca0003306c7c2c00;17;64;14;0.0;99900;102;ISS;0.0;315.0;3;11;17.2;2020-06-08T09:30:00+00:00;2020-06-08T09:30:00+00:00
22c814d0ce1000008c783800;17;66;12;0.0;99900;0;ISS;0.0;270.0;4;14;17.3;2020-06-08T09:15:00+00:00;2020-06-08T09:15:00+00:00
22c814b0962803508c625400;17;69;1;0.0;99900;106;ISS;0.0;22.5;4;21;16.5;2020-06-08T09:00:00+00:00;2020-06-08T09:00:00+00:00
22c813d0228000006c783800;17;80;12;0.0;99900;0;ISS;0.0;270.0;3;14;14.8;2020-06-08T07:15:00+00:00;2020-06-08T07:15:00+00:00
22c8134fa6c000002c781800;17;88;12;0.0;99900;0;ISS;0.0;270.0;1;6;12.9;2020-06-08T06:15:00+00:00;2020-06-08T06:15:00+00:00
22c8124f82d000002c5a2800;17;90;13;0.0;99800;0;ISS;0.0;292.5;1;10;12.0;2020-06-08T04:15:00+00:00;2020-06-08T04:15:00+00:00
22c8122f86c800002c521800;17;89;9;0.0;99800;0;ISS;0.0;202.5;1;6;12.1;2020-06-08T04:00:00+00:00;2020-06-08T04:00:00+00:00
22c8116f96c800000c5a1800;17;89;13;0.0;99800;0;ISS;0.0;292.5;0;6;12.5;2020-06-08T02:30:00+00:00;2020-06-08T02:30:00+00:00
22c810ef9ec800002c581800;17;89;12;0.0;99800;0;ISS;0.0;270.0;1;6;12.7;2020-06-08T01:30:00+00:00;2020-06-08T01:30:00+00:00
22c8104fa6c800000c541400;17;89;10;0.0;99800;0;ISS;0.0;225.0;0;5;12.9;2020-06-08T00:15:00+00:00;2020-06-08T00:15:00+00:00
22c71c0fc2c800002c521800;17;89;9;0.0;99800;0;ISS;0.0;202.5;1;6;13.0;2020-06-07T23:45:00+00:00;2020-06-07T23:45:00+00:00
22c71b0fe2b000004c502800;17;86;8;0.0;99800;0;ISS;0.0;180.0;2;10;13.8;2020-06-07T21:45:00+00:00;2020-06-07T21:45:00+00:00
22c71af002a000006c4e3440;17;84;7;0.2;99800;0;ISS;0.0;157.5;3;13;14.0;2020-06-07T21:30:00+00:00;2020-06-07T21:30:00+00:00
22c71ab01e9000004c522040;17;82;9;0.2;99800;0;ISS;0.0;202.5;2;8;14.7;2020-06-07T21:00:00+00:00;2020-06-07T21:00:00+00:00
22c71a304e5800006c3a3800;17;75;13;0.0;99700;0;ISS;0.0;292.5;3;14;15.3;2020-06-07T20:00:00+00:00;2020-06-07T20:00:00+00:00
22c71930e20000008c1a4000;17;64;13;0.0;99600;0;ISS;0.0;292.5;4;16;17.8;2020-06-07T18:00:00+00:00;2020-06-07T18:00:00+00:00
22c718d11da003506c182c00;17;52;12;0.0;99600;106;ISS;0.0;270.0;3;11;18.7;2020-06-07T17:15:00+00:00;2020-06-07T17:15:00+00:00
22c71851618802e06c1e3400;17;49;15;0.0;99600;92;ISS;0.0;337.5;3;13;19.8;2020-06-07T16:15:00+00:00;2020-06-07T16:15:00+00:00
22c7181159800400cc1e5400;17;48;15;0.0;99600;128;ISS;0.0;337.5;6;21;19.6;2020-06-07T15:45:00+00:00;2020-06-07T15:45:00+00:00
22c7175151880380cc1c4000;17;49;14;0.0;99600;112;ISS;0.0;315.0;6;16;19.4;2020-06-07T14:15:00+00:00;2020-06-07T14:15:00+00:00
22c7173149800380ac184800;17;48;12;0.0;99600;112;ISS;0.0;270.0;5;18;19.2;2020-06-07T14:00:00+00:00;2020-06-07T14:00:00+00:00
22c716b1419003708c1c4000;17;50;14;0.0;99600;110;ISS;0.0;315.0;4;16;19.0;2020-06-07T13:00:00+00:00;2020-06-07T13:00:00+00:00
22c715304a1003208c1a4000;17;66;13;0.0;99600;100;ISS;0.0;292.5;4;16;15.2;2020-06-07T10:00:00+00:00;2020-06-07T10:00:00+00:00
22c71490063803e08c1c3400;17;71;14;0.0;99600;124;ISS;0.0;315.0;4;13;14.1;2020-06-07T08:45:00+00:00;2020-06-07T08:45:00+00:00
22c71470025003108c1c3400;17;74;14;0.0;99600;98;ISS;0.0;315.0;4;13;14.0;2020-06-07T08:30:00+00:00;2020-06-07T08:30:00+00:00
22c712cf9ad803f06bde2800;17;91;15;0.0;99400;126;ISS;0.0;337.5;3;10;12.6;2020-06-07T05:15:00+00:00;2020-06-07T05:15:00+00:00
22c7117012f003904bb82c00;17;94;12;0.0;99300;114;ISS;0.0;270.0;2;11;14.4;2020-06-07T02:30:00+00:00;2020-06-07T02:30:00+00:00
22c710b026f002f00b981400;17;94;12;0.0;99200;94;ISS;0.0;270.0;0;5;14.9;2020-06-07T01:00:00+00:00;2020-06-07T01:00:00+00:00
22c619510ec000004b6e1800;17;88;7;0.0;99100;0;ISS;0.0;157.5;2;6;18.3;2020-06-06T18:15:00+00:00;2020-06-06T18:15:00+00:00
22c618d156780000ab6c3840;17;79;6;0.2;99100;0;ISS;0.0;135.0;5;14;19.5;2020-06-06T17:15:00+00:00;2020-06-06T17:15:00+00:00
22c61871a62800004b6e2800;17;69;7;0.0;99100;0;ISS;0.0;157.5;2;10;20.9;2020-06-06T16:30:00+00:00;2020-06-06T16:30:00+00:00
22c61851c2200000ab923400;17;68;9;0.0;99200;0;ISS;0.0;202.5;5;13;21.0;2020-06-06T16:15:00+00:00;2020-06-06T16:15:00+00:00
22c6175251d800006b8a2c00;17;59;5;0.0;99200;0;ISS;0.0;112.5;3;11;23.4;2020-06-06T14:15:00+00:00;2020-06-06T14:15:00+00:00
22c616d215f000006baa3800;17;62;5;0.0;99300;0;ISS;0.0;112.5;3;14;22.5;2020-06-06T13:15:00+00:00;2020-06-06T13:15:00+00:00
22c61671d6080000abd03400;17;65;8;0.0;99400;0;ISS;0.0;180.0;5;13;21.5;2020-06-06T12:30:00+00:00;2020-06-06T12:30:00+00:00
22c615f19e2000004bd02800;17;68;8;0.0;99400;0;ISS;0.0;180.0;2;10;20.7;2020-06-06T11:30:00+00:00;2020-06-06T11:30:00+00:00
22c61531265800002bf82800;17;75;12;0.0;99500;0;ISS;0.0;270.0;1;10;18.9;2020-06-06T10:00:00+00:00;2020-06-06T10:00:00+00:00
22c61511166000004bf82800;17;76;12;0.0;99500;0;ISS;0.0;270.0;2;10;18.5;2020-06-06T09:45:00+00:00;2020-06-06T09:45:00+00:00
22c614910e7000004bee2800;17;78;7;0.0;99500;0;ISS;0.0;157.5;2;10;18.3;2020-06-06T08:45:00+00:00;2020-06-06T08:45:00+00:00
22c61410ca8000004bf03400;17;80;8;0.0;99500;0;ISS;0.0;180.0;2;13;17.2;2020-06-06T07:45:00+00:00;2020-06-06T07:45:00+00:00
22c613d0969800006bf02800;17;83;8;0.0;99500;0;ISS;0.0;180.0;3;10;16.5;2020-06-06T07:15:00+00:00;2020-06-06T07:15:00+00:00
22c61130528800004bf21800;17;81;9;0.0;99500;0;ISS;0.0;202.5;2;6;15.4;2020-06-06T02:00:00+00:00;2020-06-06T02:00:00+00:00
22c610f05a8000002c122800;17;80;9;0.0;99600;0;ISS;0.0;202.5;1;10;15.6;2020-06-06T01:30:00+00:00;2020-06-06T01:30:00+00:00
22c610d0668000004c122800;17;80;9;0.0;99600;0;ISS;0.0;202.5;2;10;15.9;2020-06-06T01:15:00+00:00;2020-06-06T01:15:00+00:00
22c51c10668000004c0e1800;17;80;7;0.0;99600;0;ISS;0.0;157.5;2;6;15.9;2020-06-05T23:45:00+00:00;2020-06-05T23:45:00+00:00
22c51a709a8000002c101800;17;80;8;0.0;99600;0;ISS;0.0;180.0;1;6;16.6;2020-06-05T20:30:00+00:00;2020-06-05T20:30:00+00:00
22c51a10a28800004bf01800;17;81;8;0.0;99500;0;ISS;0.0;180.0;2;6;16.8;2020-06-05T19:45:00+00:00;2020-06-05T19:45:00+00:00
22c519f0c28800008bf64800;17;81;11;0.0;99500;0;ISS;0.0;247.5;4;18;17.0;2020-06-05T19:30:00+00:00;2020-06-05T19:30:00+00:00
22c5193112500000abfc4800;17;74;14;0.0;99500;0;ISS;0.0;315.0;5;18;18.4;2020-06-05T18:00:00+00:00;2020-06-05T18:00:00+00:00
22c51871225000006bfc4c00;17;74;14;0.0;99500;0;ISS;0.0;315.0;3;19;18.8;2020-06-05T16:30:00+00:00;2020-06-05T16:30:00+00:00
22c518514a4800008bf05400;17;73;8;0.0;99500;0;ISS;0.0;180.0;4;21;19.2;2020-06-05T16:15:00+00:00;2020-06-05T16:15:00+00:00
22c51770e68000008bec4800;17;80;6;0.0;99500;0;ISS;0.0;135.0;4;18;17.9;2020-06-05T14:30:00+00:00;2020-06-05T14:30:00+00:00
22c516f0de7000008bf65400;17;78;11;0.0;99500;0;ISS;0.0;247.5;4;21;17.7;2020-06-05T13:30:00+00:00;2020-06-05T13:30:00+00:00
22c51690e2700000abee4000;17;78;7;0.0;99500;0;ISS;0.0;157.5;5;16;17.8;2020-06-05T12:45:00+00:00;2020-06-05T12:45:00+00:00
22c5163082a00000cc106000;17;84;8;0.0;99600;0;ISS;0.0;180.0;6;24;16.0;2020-06-05T12:00:00+00:00;2020-06-05T12:00:00+00:00
22c515f05ab000008c144800;17;86;10;0.0;99600;0;ISS;0.0;225.0;4;18;15.6;2020-06-05T11:30:00+00:00;2020-06-05T11:30:00+00:00
22c515901ab800008c164c00;17;87;11;0.0;99600;0;ISS;0.0;247.5;4;19;14.6;2020-06-05T10:45:00+00:00;2020-06-05T10:45:00+00:00
22c5153042a000006bf23800;17;84;9;0.0;99500;0;ISS;0.0;202.5;3;14;15.0;2020-06-05T10:00:00+00:00;2020-06-05T10:00:00+00:00
22c514d046a000008bf63400;17;84;11;0.0;99500;0;ISS;0.0;247.5;4;13;15.1;2020-06-05T09:15:00+00:00;2020-06-05T09:15:00+00:00
