data;id;mois;jour;annee;numero_de_message;temperature_partie_entiere;temperature_partie_decimale;humidite;pluie_en_augets;direction_du_vecteur_moyen_de_vent;force_moyenne_du_vecteur_de_vent;pression_a_decoder;direction_du_vecteur_de_vent_max;force_du_vecteur_de_vent_max;pluie_la_plus_intense_durant_1_min;type_station;pluie_intensite_max;heure;annee_reelle;minute;pression;temperature_decodee;direction_du_vecteur_vent_moyen;type_de_station;pluie;direction_du_vecteur_de_vent_max_en_degres;force_moyenne_du_vecteur_vent;force_rafale_max;jour_mois;dd_mm_yy_utc;hh_mm_utc;dd_mm_yy_hh_mm;temperature_en_degre_c;false_message;dd_mm_yy_hh_mm_utc;heure_paris_dd_mm_yy_hh_mm;heure_de_paris;heure_utc
3eea17d351500910ac9a4000;31;7;10;1;62;77;4;42;0;145;5;100;13;16;0;0;0.0;15;2020;15;100000;27;290;ISS;0.0;292.5;5;16;10/7;10/7/2020;15:15;2020-07-10T15:15:00;27.4;9967219916800;2020-07-10T15:15:00+00:00;2020-07-10T15:15:00+02:00;2020-07-10T15:15:00+00:00;2020-07-10T15:15:00+00:00
3eea185325400900cc9a6800;31;7;10;1;66;76;9;40;0;144;6;100;13;26;0;0;0.0;16;2020;15;100000;26;288;ISS;0.0;292.5;6;26;10/7;10/7/2020;16:15;2020-07-10T16:15:00;26.9;9899037321216;2020-07-10T16:15:00+00:00;2020-07-10T16:15:00+02:00;2020-07-10T16:15:00+00:00;2020-07-10T16:15:00+00:00
3eeb13f1262808004d1a3400;31;7;11;1;31;68;9;69;0;128;2;104;13;13;0;0;0.0;7;2020;30;100400;18;256;ISS;0.0;292.5;2;13;11/7;11/7/2020;7:30;2020-07-11T07:30:00;18.9;8797386585088;2020-07-11T07:30:00+00:00;2020-07-11T07:30:00+02:00;2020-07-11T07:30:00+00:00;2020-07-11T07:30:00+00:00
3eeb14515a1008906d1a3400;31;7;11;1;34;69;6;66;0;137;3;104;13;13;0;0;0.0;8;2020;15;100400;19;274;ISS;0.0;292.5;3;13;11/7;11/7/2020;8:15;2020-07-11T08:15:00;19.6;9416398746624;2020-07-11T08:15:00+00:00;2020-07-11T08:15:00+02:00;2020-07-11T08:15:00+00:00;2020-07-11T08:15:00+00:00
3eeb14b195f808d08d183400;31;7;11;1;37;70;5;63;0;141;4;104;12;13;0;0;0.0;9;2020;0;100400;20;282;ISS;0.0;270.0;4;13;11/7;11/7/2020;9:0;2020-07-11T09:00:00;20.5;9691813393408;2020-07-11T09:00:00+00:00;2020-07-11T09:00:00+02:00;2020-07-11T09:00:00+00:00;2020-07-11T09:00:00+00:00
3eeb1531dde00850ad1a4c00;31;7;11;1;41;71;7;60;0;133;5;104;13;19;0;0;0.0;10;2020;0;100400;21;266;ISS;0.0;292.5;5;19;11/7;11/7/2020;10:0;2020-07-11T10:00:00;21.7;9142594587648;2020-07-11T10:00:00+00:00;2020-07-11T10:00:00+02:00;2020-07-11T10:00:00+00:00;2020-07-11T10:00:00+00:00
3eeb155205d80900cd1c5400;31;7;11;1;42;72;1;59;0;144;6;104;14;21;0;0;0.0;10;2020;15;100400;22;288;ISS;0.0;315.0;6;21;11/7;11/7/2020;10:15;2020-07-11T10:15:00;22.1;9899045835776;2020-07-11T10:15:00+00:00;2020-07-11T10:15:00+02:00;2020-07-11T10:15:00+00:00;2020-07-11T10:15:00+00:00
3eeb16729d7008c0acfa4800;31;7;11;1;51;74;7;46;0;140;5;103;13;18;0;0;0.0;12;2020;30;100300;24;280;ISS;0.0;292.5;5;18;11/7;11/7/2020;12:30;2020-07-11T12:30:00;24.7;9623628826624;2020-07-11T12:30:00+00:00;2020-07-11T12:30:00+02:00;2020-07-11T12:30:00+00:00;2020-07-11T12:30:00+00:00
3eeb16b2d95808b0acfa4800;31;7;11;1;53;75;6;43;0;139;5;103;13;18;0;0;0.0;13;2020;0;100300;25;278;ISS;0.0;292.5;5;18;11/7;11/7/2020;13:0;2020-07-11T13:00:00;25.6;9554909349888;2020-07-11T13:00:00+00:00;2020-07-11T13:00:00+02:00;2020-07-11T13:00:00+00:00;2020-07-11T13:00:00+00:00
3eeb1833491808b0acda4c00;31;7;11;1;65;77;2;35;0;139;5;102;13;19;0;0;0.0;16;2020;0;100200;27;278;ISS;0.0;292.5;5;19;11/7;11/7/2020;16:0;2020-07-11T16:00:00;27.2;9554907253760;2020-07-11T16:00:00+00:00;2020-07-11T16:00:00+02:00;2020-07-11T16:00:00+00:00;2020-07-11T16:00:00+00:00
