data;id;mois;jour;annee;numero_de_message;temperature_partie_entiere;temperature_partie_decimale;humidite;pluie_en_augets;direction_du_vecteur_moyen_de_vent;force_moyenne_du_vecteur_de_vent;pression_a_decoder;direction_du_vecteur_de_vent_max;force_du_vecteur_de_vent_max;pluie_la_plus_intense_durant_1_min;type_station;pluie_intensite_max;heure;annee_reelle;minute;pression;temperature_decodee;direction_du_vecteur_vent_moyen;type_de_station;pluie;direction_du_vecteur_de_vent_max_en_degres;force_moyenne_du_vecteur_vent;force_rafale_max;jour_mois;dd_mm_yy_utc;hh_mm_utc;dd_mm_yy_hh_mm;temperature_en_degre_c;false_message;dd_mm_yy_hh_mm_utc;heure_paris_dd_mm_yy_hh_mm;heure_de_paris;heure_utc
74ea183345900850ecf85400;58;7;10;1;65;77;1;50;0;133;7;103;12;21;0;0;0.0;16;2020;0;100300;27;266;ISS;0.0;270.0;7;21;10/7;10/7/2020;16:0;2020-07-10T16:00:00;27.1;9143666103296;2020-07-10T16:00:00+00:00;2020-07-10T16:00:00+02:00;2020-07-10T16:00:00+00:00;2020-07-10T16:00:00+00:00
74ea1853499008808cf64800;58;7;10;1;66;77;2;50;0;136;4;103;11;18;0;0;0.0;16;2020;15;100300;27;272;ISS;0.0;247.5;4;18;10/7;10/7/2020;16:15;2020-07-10T16:15:00;27.2;9348213786624;2020-07-10T16:15:00+00:00;2020-07-10T16:15:00+02:00;2020-07-10T16:15:00+00:00;2020-07-10T16:15:00+00:00
74e91874d8f00810acf83800;58;7;9;1;67;83;6;30;0;129;5;103;12;14;0;0;0.0;16;2020;30;100300;33;258;ISS;0.0;270.0;5;14;9/7;9/7/2020;16:30;2020-07-09T16:30:00;33.6;8867714447360;2020-07-09T16:30:00+00:00;2020-07-09T16:30:00+02:00;2020-07-09T16:30:00+00:00;2020-07-09T16:30:00+00:00
74e91954c5180b108cf82c00;58;7;9;1;74;83;1;35;0;177;4;103;12;11;0;0;0.0;18;2020;15;100300;33;354;ISS;0.0;270.0;4;11;9/7;9/7/2020;18:15;2020-07-09T18:15:00;33.1;12165712456704;2020-07-09T18:15:00+00:00;2020-07-09T18:15:00+02:00;2020-07-09T18:15:00+00:00;2020-07-09T18:15:00+00:00
74e919f4414000000cfe0800;58;7;9;1;79;81;0;40;0;0;0;103;15;2;0;0;0.0;19;2020;30;100300;31;0;ISS;0.0;337.5;0;2;9/7;9/7/2020;19:30;2020-07-09T19:30:00;31.0;217974784;2020-07-09T19:30:00+00:00;2020-07-09T19:30:00+02:00;2020-07-09T19:30:00+00:00;2020-07-09T19:30:00+00:00
74e91a340d5801600ce41400;58;7;9;1;81;80;3;43;0;22;0;103;2;5;0;0;0.0;20;2020;0;100300;30;44;ISS;0.0;45.0;0;5;9/7;9/7/2020;20:0;2020-07-09T20:00:00;30.3;1512044762112;2020-07-09T20:00:00+00:00;2020-07-09T20:00:00+02:00;2020-07-09T20:00:00+00:00;2020-07-09T20:00:00+00:00
74e91a73d96800902cfc1400;58;7;9;1;83;79;6;45;0;9;1;103;14;5;0;0;0.0;20;2020;30;100300;29;18;ISS;0.0;315.0;1;5;9/7;9/7/2020;20:30;2020-07-09T20:30:00;29.6;619230008320;2020-07-09T20:30:00+00:00;2020-07-09T20:30:00+02:00;2020-07-09T20:30:00+00:00;2020-07-09T20:30:00+00:00
74e91ab3659807b04cf61400;58;7;9;1;85;77;9;51;0;123;2;103;11;5;0;0;0.0;21;2020;0;100300;27;246;ISS;0.0;247.5;2;5;9/7;9/7/2020;21:0;2020-07-09T21:00:00;27.9;8453786833920;2020-07-09T21:00:00+00:00;2020-07-09T21:00:00+02:00;2020-07-09T21:00:00+00:00;2020-07-09T21:00:00+00:00
74e91b1355a007b04cf61800;58;7;9;1;88;77;5;52;0;123;2;103;11;6;0;0;0.0;21;2020;45;100300;27;246;ISS;0.0;247.5;2;6;9/7;9/7/2020;21:45;2020-07-09T21:45:00;27.5;8453786834944;2020-07-09T21:45:00+00:00;2020-07-09T21:45:00+02:00;2020-07-09T21:45:00+00:00;2020-07-09T21:45:00+00:00
74e91b5351a007a06cf81800;58;7;9;1;90;77;4;52;0;122;3;103;12;6;0;0;0.0;22;2020;15;100300;27;244;ISS;0.0;270.0;3;6;9/7;9/7/2020;22:15;2020-07-09T22:15:00;27.4;8385604360192;2020-07-09T22:15:00+00:00;2020-07-09T22:15:00+02:00;2020-07-09T22:15:00+00:00;2020-07-09T22:15:00+00:00
74ea103296280810acf63400;58;7;10;1;1;74;5;69;0;129;5;103;11;13;0;0;0.0;0;2020;0;100300;24;258;ISS;0.0;247.5;5;13;10/7;10/7/2020;0:0;2020-07-10T00:00:00;24.5;8867714315264;2020-07-10T00:00:00+00:00;2020-07-10T00:00:00+02:00;2020-07-10T00:00:00+00:00;2020-07-10T00:00:00+00:00
74ea1072623007c10cf64800;58;7;10;1;3;73;8;70;0;124;8;103;11;18;0;0;0.0;0;2020;30;100300;23;248;ISS;0.0;247.5;8;18;10/7;10/7/2020;0:30;2020-07-10T00:30:00;23.8;8525727549440;2020-07-10T00:30:00+00:00;2020-07-10T00:30:00+02:00;2020-07-10T00:30:00+00:00;2020-07-10T00:30:00+00:00
74ea11719ea807b12cf44c00;58;7;10;1;11;70;7;85;0;123;9;103;10;19;0;0;0.0;2;2020;30;100300;20;246;ISS;0.0;225.0;9;19;10/7;10/7/2020;2:30;2020-07-10T02:30:00;20.7;8457544813568;2020-07-10T02:30:00+00:00;2020-07-10T02:30:00+02:00;2020-07-10T02:30:00+00:00;2020-07-10T02:30:00+00:00
74ea11b186a807b12cf84800;58;7;10;1;13;70;1;85;0;123;9;103;12;18;0;0;0.0;3;2020;0;100300;20;246;ISS;0.0;270.0;9;18;10/7;10/7/2020;3:0;2020-07-10T03:00:00;20.1;8457545074688;2020-07-10T03:00:00+00:00;2020-07-10T03:00:00+02:00;2020-07-10T03:00:00+00:00;2020-07-10T03:00:00+00:00
74ea12714eb007d10cf84800;58;7;10;1;19;69;3;86;0;125;8;103;12;18;0;0;0.0;4;2020;30;100300;19;250;ISS;0.0;270.0;8;18;10/7;10/7/2020;4:30;2020-07-10T04:30:00;19.3;8594447157248;2020-07-10T04:30:00+00:00;2020-07-10T04:30:00+02:00;2020-07-10T04:30:00+00:00;2020-07-10T04:30:00+00:00
74ea129156a80840acfa4000;58;7;10;1;20;69;5;85;0;132;5;103;13;16;0;0;0.0;4;2020;45;100300;19;264;ISS;0.0;292.5;5;16;10/7;10/7/2020;4:45;2020-07-10T04:45:00;19.5;9073873010688;2020-07-10T04:45:00+00:00;2020-07-10T04:45:00+02:00;2020-07-10T04:45:00+00:00;2020-07-10T04:45:00+00:00
74e81512c96008106cf62c00;58;7;8;1;40;75;2;44;0;129;3;103;11;11;0;0;0.0;9;2020;45;100300;25;258;ISS;0.0;247.5;3;11;8/7;8/7/2020;9:45;2020-07-08T09:45:00;25.2;8866640571392;2020-07-08T09:45:00+00:00;2020-07-08T09:45:00+02:00;2020-07-08T09:45:00+00:00;2020-07-08T09:45:00+00:00
74e815330148002040002800;58;7;8;1;41;76;0;41;0;2;2;0;0;10;0;0;0.0;10;2020;0;90000;26;4;ISS;0.0;0.0;2;10;8/7;8/7/2020;10:0;2020-07-08T10:00:00;26.0;138512705536;2020-07-08T10:00:00+00:00;2020-07-08T10:00:00+02:00;2020-07-08T10:00:00+00:00;2020-07-08T10:00:00+00:00
74e81613852808d06cfe3400;58;7;8;1;48;78;1;37;0;141;3;103;15;13;0;0;0.0;11;2020;45;100300;28;282;ISS;0.0;337.5;3;13;8/7;8/7/2020;11:45;2020-07-08T11:45:00;28.1;9691274818560;2020-07-08T11:45:00+00:00;2020-07-08T11:45:00+02:00;2020-07-08T11:45:00+00:00;2020-07-08T11:45:00+00:00
74e816d3c4e806e0acf83800;58;7;8;1;54;79;1;29;0;110;5;103;12;14;0;0;0.0;13;2020;15;100300;29;220;ISS;0.0;270.0;5;14;8/7;8/7/2020;13:15;2020-07-08T13:15:00;29.1;7562044389376;2020-07-08T13:15:00+00:00;2020-07-08T13:15:00+02:00;2020-07-08T13:15:00+00:00;2020-07-08T13:15:00+00:00
74e816f3d0e007b0ccf84000;58;7;8;1;55;79;4;28;0;123;6;103;12;16;0;0;0.0;13;2020;30;100300;29;246;ISS;0.0;270.0;6;16;8/7;8/7/2020;13:30;2020-07-08T13:30:00;29.4;8455934459904;2020-07-08T13:30:00+00:00;2020-07-08T13:30:00+02:00;2020-07-08T13:30:00+00:00;2020-07-08T13:30:00+00:00
74e8175450c800608cfe3800;58;7;8;1;58;81;4;25;0;6;4;103;15;14;0;0;0.0;14;2020;15;100300;31;12;ISS;0.0;337.5;4;14;8/7;8/7/2020;14:15;2020-07-08T14:15:00;31.4;414682331136;2020-07-08T14:15:00+00:00;2020-07-08T14:15:00+02:00;2020-07-08T14:15:00+00:00;2020-07-08T14:15:00+00:00
74e817744cd80ae04cf82800;58;7;8;1;59;81;3;27;0;174;2;103;12;10;0;0;0.0;14;2020;30;100300;31;348;ISS;0.0;270.0;2;10;8/7;8/7/2020;14:30;2020-07-08T14:30:00;31.3;11958480283648;2020-07-08T14:30:00+00:00;2020-07-08T14:30:00+02:00;2020-07-08T14:30:00+00:00;2020-07-08T14:30:00+00:00
74e8179454e000e06ce23800;58;7;8;1;60;81;5;28;0;14;3;103;1;14;0;0;0.0;14;2020;45;100300;31;28;ISS;0.0;22.5;3;14;8/7;8/7/2020;14:45;2020-07-08T14:45:00;31.5;963899439104;2020-07-08T14:45:00+00:00;2020-07-08T14:45:00+02:00;2020-07-08T14:45:00+00:00;2020-07-08T14:45:00+00:00
74e8183464f009c08cfa4000;58;7;8;1;65;81;9;30;0;156;4;103;13;16;0;0;0.0;16;2020;0;100300;31;312;ISS;0.0;292.5;4;16;8/7;8/7/2020;16:0;2020-07-08T16:00:00;31.9;10722603581440;2020-07-08T16:00:00+00:00;2020-07-08T16:00:00+02:00;2020-07-08T16:00:00+00:00;2020-07-08T16:00:00+00:00
74e8193420e000c08ce23400;58;7;8;1;73;80;8;28;0;12;4;103;1;13;0;0;0.0;18;2020;0;100300;30;24;ISS;0.0;22.5;4;13;8/7;8/7/2020;18:0;2020-07-08T18:00:00;30.8;826997355520;2020-07-08T18:00:00+00:00;2020-07-08T18:00:00+02:00;2020-07-08T18:00:00+00:00;2020-07-08T18:00:00+00:00
74e8197424e800608ce22800;58;7;8;1;75;80;9;29;0;6;4;103;1;10;0;0;0.0;18;2020;30;100300;30;12;ISS;0.0;22.5;4;10;8/7;8/7/2020;18:30;2020-07-08T18:30:00;30.9;414680492032;2020-07-08T18:30:00+00:00;2020-07-08T18:30:00+02:00;2020-07-08T18:30:00+00:00;2020-07-08T18:30:00+00:00
74e81a7345480a800cfe0800;58;7;8;1;83;77;1;41;0;168;0;103;15;2;0;0;0.0;20;2020;30;100300;27;336;ISS;0.0;337.5;0;2;8/7;8/7/2020;20:30;2020-07-08T20:30:00;27.1;11545090066432;2020-07-08T20:30:00+00:00;2020-07-08T20:30:00+02:00;2020-07-08T20:30:00+00:00;2020-07-08T20:30:00+00:00
74e81a931d580a800cfe0800;58;7;8;1;84;76;7;43;0;168;0;103;15;2;0;0;0.0;20;2020;45;100300;26;336;ISS;0.0;337.5;0;2;8/7;8/7/2020;20:45;2020-07-08T20:45:00;26.7;11545090066432;2020-07-08T20:45:00+00:00;2020-07-08T20:45:00+02:00;2020-07-08T20:45:00+00:00;2020-07-08T20:45:00+00:00
74e81bb249a800000ce00000;58;7;8;1;93;73;2;53;0;0;0;103;0;0;0;0;0.0;23;2020;0;100300;23;0;ISS;0.0;0.0;0;0;8/7;8/7/2020;23:0;2020-07-08T23:00:00;23.2;216006656;2020-07-08T23:00:00+00:00;2020-07-08T23:00:00+02:00;2020-07-08T23:00:00+00:00;2020-07-08T23:00:00+00:00
74e9105205e000000ce00000;58;7;9;1;2;72;1;60;0;0;0;103;0;0;0;0;0.0;0;2020;15;100300;22;0;ISS;0.0;0.0;0;0;9/7;9/7/2020;0:15;2020-07-09T00:15:00;22.1;216006656;2020-07-09T00:15:00+00:00;2020-07-09T00:15:00+02:00;2020-07-09T00:15:00+00:00;2020-07-09T00:15:00+00:00
74e911718e2006504cf21400;58;7;9;1;11;70;3;68;0;101;2;103;9;5;0;0;0.0;2;2020;30;100300;20;202;ISS;0.0;202.5;2;5;9/7;9/7/2020;2:30;2020-07-09T02:30:00;20.3;6941958083584;2020-07-09T02:30:00+00:00;2020-07-09T02:30:00+02:00;2020-07-09T02:30:00+00:00;2020-07-09T02:30:00+00:00
